ville,departement,code_region,nom_region,prix_m2,prix_estime,loyer_m2,loyer_annuel,rendement_brut,categorie_rendement,score_investissement,nombre_transactions
Argentat-Sur-Dordogne,19,75,Nouvelle-Aquitaine,1651.249043733277,82562.45218666385,7.39453032287278,4436.718193723668,5.3737723095878716,Bon,0.22780577109113048,70
Argenteuil,95,11,Île-de-France,4028.9442354427383,201447.2117721369,18.2347011924952,10940.82071549712,5.431110522330097,Bon,1.265793836411227,939
Argenton-Sur-Creuse,36,24,Centre-Val de Loire,2563.6622377942986,128183.11188971493,7.14168804987651,4285.012829925906,3.342884071665079,Moyen,0.16690543507060185,128
Argentonnay,79,75,Nouvelle-Aquitaine,1268.5828238887807,63429.141194439035,6.83862118109051,4103.172708654306,6.4689078732379865,Bon,0.2651645624344877,52
Argonay,74,84,Auvergne-Rhône-Alpes,6051.691695053166,302584.58475265827,16.4222217223902,9853.33303343412,3.2563896278749733,Moyen,0.025828596368478007,48
Arlanc,63,84,Auvergne-Rhône-Alpes,1569.2139627566585,78460.69813783292,7.16865801582924,4301.194809497543,5.481973665263058,Bon,0.12576427219828004,36
Arles,13,93,Provence-Alpes-Côte d’Azur,3805.100501924882,190255.0250962441,11.8030090129868,7081.80540779208,3.7222698345074536,Moyen,0.7992152778235936,817
Arleux,59,32,Hauts-de-France,1404.812441653424,70240.6220826712,9.46502102625835,5679.01261575501,8.085083029405656,Excellent,0.20143465251214676,35
Arnac-Pompadour,19,75,Nouvelle-Aquitaine,1432.5471297087665,71627.35648543833,6.54089583477368,3924.537500864208,5.479104204637313,Bon,0.14151496405761846,37
Arnage,72,52,Pays de la Loire,2146.908695677642,107345.4347838821,9.88169903372875,5929.01942023725,5.523308403542367,Bon,0.18266025818472442,71
Arnas,69,84,Auvergne-Rhône-Alpes,3245.578196994921,162278.90984974607,11.5608199647733,6936.49197886398,4.274426039271815,Moyen,0.07638599202672461,58
Arnouville,95,11,Île-de-France,3741.2021844265355,187060.10922132677,17.3646136198899,10418.768171933942,5.569743445197398,Bon,0.16525210131397305,111
Arpajon,91,11,Île-de-France,4369.5338786141265,218476.69393070633,14.5418777312255,8725.126638735299,3.9936189447752373,Moyen,0.16177253063189734,177
Arques,62,32,Hauts-de-France,2766.192227597584,138309.6113798792,8.56852245901882,5141.113475411292,3.717104996622963,Moyen,0.18947049279327371,141
Arques-La-Bataille,76,28,Normandie,2346.4117231657924,117320.58615828962,10.5351817678027,6321.10906068162,5.3878942031138015,Bon,0.11710758246130205,51
Arradon,56,53,Bretagne,5734.060094913467,286703.00474567333,13.6764802099585,8205.8881259751,2.8621563046590066,Faible,0.04392520319649589,88
Arras,62,32,Hauts-de-France,3288.2444329708023,164412.22164854011,10.286952849995,6172.171709997,3.754083271979073,Moyen,0.7340924901077687,643
Arreau,65,76,Occitanie,2481.228466831342,124061.42334156709,9.47898152029661,5687.388912177966,4.5843331141860215,Moyen,0.08498988548275882,46
Arsac,33,75,Nouvelle-Aquitaine,3211.729556416121,160586.47782080603,11.9328644984436,7159.71869906616,4.45848168303155,Moyen,0.06524479580911922,47
Artix,64,75,Nouvelle-Aquitaine,3098.9346133134018,154946.7306656701,11.3387660858919,6803.25965153514,4.390708743777623,Moyen,0.06234116199039581,44
Arvert,17,75,Nouvelle-Aquitaine,2497.8009532509623,124890.04766254811,10.7289567255292,6437.37403531752,5.1544331640510315,Bon,0.18365937085718223,89
Arveyres,33,75,Nouvelle-Aquitaine,3539.2446281407333,176962.23140703666,10.6118515990922,6367.11095945532,3.598005579399662,Moyen,0.03456449117049395,34
Arzal,56,53,Bretagne,2455.6362317818575,122781.81158909287,10.4162335384205,6249.740123052299,5.090118839399406,Bon,0.07462191502420251,36
Arzon,56,53,Bretagne,5383.984754580792,269199.23772903957,12.6884288664983,7613.0573198989805,2.8280382159038076,Faible,0.07353760611778713,140
Ascain,64,75,Nouvelle-Aquitaine,6242.222329041214,312111.1164520607,14.1600116640873,8496.00699845238,2.722109707283477,Faible,0.03793897942914792,87
Aspiran,34,76,Occitanie,2341.3200606260134,117066.00303130067,10.4528661355092,6271.71968130552,5.357421897823411,Bon,0.0732225822575111,32
Aspremont,06,93,Provence-Alpes-Côte d’Azur,6863.893648422977,343194.6824211489,18.7030322947699,11221.81937686194,3.269811553516778,Moyen,0.016673248484754908,35
Asson,64,75,Nouvelle-Aquitaine,1792.5990154954698,89629.95077477349,8.91917197578997,5351.503185473983,5.97066397918872,Bon,0.10325264141891308,31
Athis-Val De Rouvre,61,28,Normandie,1700.6399296213256,85031.99648106628,7.34405207130552,4406.431242783312,5.182086067759768,Bon,0.24072397232503986,79
Attiches,59,32,Hauts-de-France,3145.8268037208322,157291.3401860416,10.2923402332499,6175.40413994994,3.9260929003756813,Moyen,0.03993702789467711,32
Attignat,01,84,Auvergne-Rhône-Alpes,2238.45109506225,111922.55475311249,9.76752369070898,5860.514214425388,5.236222696446634,Bon,0.10058632794965923,43
Aubagne,13,93,Provence-Alpes-Côte d’Azur,4265.674917160083,213283.74585800417,17.6417559755591,10585.05358533546,4.962897450414514,Moyen,0.8074339694129148,694
Aubais,30,76,Occitanie,3857.4514521746414,192872.57260873207,9.5247633218174,5714.85799309044,2.9630226401779773,Faible,0.03379770239087082,44
Aubenas,07,84,Auvergne-Rhône-Alpes,2394.7999649591343,119739.99824795671,9.8791929592229,5927.5157755337395,4.950322250096482,Moyen,0.5705232006924402,276
Auberchicourt,59,32,Hauts-de-France,1552.188219439497,77609.41097197485,8.62486907451454,5174.921444708724,6.667904549072554,Bon,0.3007066492255854,70
Aubergenville,78,11,Île-de-France,2742.646075809909,137132.30379049544,15.7461086519366,9447.66519116196,6.889452689131276,Bon,0.4245234245615743,169
Aubervilliers,93,11,Île-de-France,4943.104920487821,247155.24602439103,20.6364585366065,12381.875121963902,5.009756143611036,Bon,0.6699127095607142,661
Aubiet,32,76,Occitanie,1844.3205083695493,92216.02541847747,8.24478855451145,4946.87313270687,5.36443976007196,Bon,0.0872587991468088,30
Aubignan,84,93,Provence-Alpes-Côte d’Azur,3406.08357164227,170304.1785821135,10.9329170358638,6559.750221518279,3.8517846573890404,Moyen,0.11308544186811811,100
Aubigny-Les Clouzeaux,85,52,Pays de la Loire,2145.0085964274795,107250.42982137397,9.82725681187059,5896.354087122354,5.497744015518405,Bon,0.330632231116959,129
